RMDDR,RMEV,1,338523,6634,N930NR0734,734,11781,7461,NR in plane
OLQDL,IL2L,3,268049,4976,N930NR0735,735,8821,11242,NR 45 deg
IL1DR,"mus-DR,RMDVR",1,465190,9960,N930NR0735,735,12863,7916,NR in plane
OLQDR,IL2R,1,462497,9822,N930NR0735,735,15316,11300,NR 45 deg
RMDDL,"RMDVR,mus-DR",1,465189,9959,N930NR0735,735,12692,8036,NR 45 deg
OLQDL,"IL2L,OLQDL",7,268051,4975,N930NR0735,735,8829,10963,NR 45 deg
RIH,"OLQDL,IL2L",1,466278,9996,N930NR0736,736,8956,10713,NR 45 deg
IL2L,"OLQDL,RIH",2,466274,9994,N930NR0736,736,8995,11923,NR 45 deg
URADR,"RIPR,mus-DR",1,465203,9962,N930NR0736,736,13816,8778,NR 45 deg
IL2L,"RIH,OLQVL",3,466273,9995,N930NR0737,737,9019,11966,NR 45 deg
URADR,"mus-D,RMER,mus-DR,RIPR",9,465172,9957,N930NR0737,737,13032,7994,NR in plane
URADR,"RIPR,mus-DR",3,465201,9961,N930NR0738,738,13923,8698,NR 45 deg
OLQDR,IL2R,2,269831,4981,N930NR0738,738,15478,11442,NR 45 deg
RMDDL,"RMDVR,mus-DR",4,465186,9958,N930NR0738,738,12711,7831,NR in plane
RMEV,mus-D,1,338520,6632,N930NR0739,739,11817,7206,NR in plane
RIH,"IL2R,OLQDR",5,284376,5221,N930NR0740,740,15198,10849,NR 45 deg
RMEV,mus-D,2,338517,6631,N930NR0740,740,11733,7057,NR in plane
NRDfrag,"RMDVR,RMDDL",10,411192,8769,N930NR0740,740,12517,6929,NR in plane
RMEV,mus-D,4,338516,6632,N930NR0740,740,11852,7137,NR in plane
RMEV,mus-D,3,338515,6630,N930NR0741,741,11975,7134,NR in plane
IL2R,"RIH,OLQDR",1,462496,9821,N930NR0741,741,15536,12112,NR 45 deg
RIH,"OLQVR,RIPR",2,217699,4843,N930NR0741,741,15206,12196,NR 45 deg
OLQDR,"RMDVR,mus-DR,RIPR",5,465130,9963,N930NR0741,741,14508,8810,NR 45 deg
obj399267,AVEL,2,399279,8282,N930NR0742,742,15648,9475,NR 45 deg
IL2VL,URAVL,1,83745,735,N930NR0742,742,10956,13785,NR 45 deg
URADR,mus-DR,3,465134,9955,N930NR0742,742,13905,8592,NR 45 deg
RIH,"OLQVR,RIPR",2,290276,5445,N930NR0742,742,15215,12044,NR 45 deg
IL1DR,"RIPR,mus-DR,RMDVR",4,465126,9953,N930NR0742,742,12893,7682,NR in plane
RMEV,mus-D,1,338512,6629,N930NR0743,743,11888,6933,NR in plane
IL1DR,"IL1R,RMDVR",1,411255,8767,N930NR0743,743,15886,10866,NR 45 deg
OLQVL,IL2L,4,468559,10014,N930NR0743,743,9424,12668,NR 45 deg
IL2VL,"URAVL,[CEMVL]",1,83748,736,N930NR0743,743,10975,13737,NR 45 deg
NRDfrag,SMDDL,3,448971,9561,N930NR0743,743,13569,6137,NR in plane
OLLR,"AVEL,[CEPDR]",2,399309,8263,N930NR0743,743,15804,10259,NR 45 deg
NRDfrag,"SMDDL,AVEL",3,399092,8281,N930NR0743,743,13262,6100,NR in plane
[CEPDR],AVEL,1,399286,8289,N930NR0743,743,15753,9636,NR 45 deg
NRD,AVEL,1,399074,8265,N930NR0745,745,12525,5983,NR in plane
NRD,"NRDfrag,AVEL",3,399066,8267,N930NR0746,746,12210,5858,NR in plane
RMEV,mus-D,1,338597,6637,N930NR0746,746,11378,6733,NR in plane
RMDDL,"mus-DR,RMDVR",1,465128,9954,N930NR0747,747,14531,8924,NR 45 deg
IL1R,"RMDDL,NRRfrag",1,462641,9858,N930NR0747,747,14886,9797,NR 45 deg
IL2L,"OLQDL,RIH",1,466289,9997,N930NR0747,747,9198,11639,NR 45 deg
OLLR,"[CEPDR],AVEL",3,399311,8278,N930NR0748,748,16000,10297,NR 45 deg
NRDLfrag,SMDDR,1,269700,4979,N930NR0748,748,9147,6058,NR in plane
RMEV,mus-D,1,338608,6638,N930NR0748,748,11436,6624,NR in plane
NRDLfrag,SMDDR,1,269709,4980,N930NR0748,748,9115,6110,NR in plane
OLLL,"RMDVL,IL1DL",1,462764,9871,N930NR0749,749,8501,7902,NR in plane
IL2R,"OLQDR,RIH",3,461806,9797,N930NR0749,749,15524,11032,NR 45 deg
OLQVL,IL2L,4,269909,4982,N930NR0749,749,9530,12992,NR 45 deg
IL2L,RIH,1,463353,9900,N930NR0749,749,9108,11414,NR 45 deg
IL2L,"RIH,OLQVL",4,463350,9901,N930NR0749,749,9359,12208,NR 45 deg
RMEV,mus-D,1,338611,6639,N930NR0749,749,11519,6712,NR in plane
RMEV,mus-D,1,338612,6640,N930NR0750,750,11325,6666,NR in plane
RMEV,mus-D,1,338613,6641,N930NR0750,750,11219,7102,NR in plane
IL1DR,"RIPR,mus-DR,RMDVR",5,465136,9956,N930NR0750,750,13026,7539,NR in plane
RIH,"OLQVR,IL2R",1,270484,4991,N930NR0750,750,15341,12817,NR 45 deg
OLLL,AVER,1,333886,6518,N930NR0751,751,9309,6649,NR in plane
RMEV,"mus-D,[RIBL]",2,338616,6642,N930NR0751,751,10758,7123,NR in plane
