OLLR,AVEL,1,63001,4834,N2UNR021,21,6526,3289,NR 45 deg
OLLR,"AVEL,OLLR",1,63000,4833,N2UNR021,21,6099,2575,NR in plane
URYDL,RMDVL,1,466737,9508,N2UNR021,21,4217,2005,NR in plane
RMDDR,"dBWML6,dBWML6",1,21128,785,N2UNR022,22,5424,2461,NR in plane
IL1DR,RIPR,2,61296,4006,N2UNR022,22,6073,2878,NR in plane
IL2DR,"RIPR,IL1DR",2,61293,4005,N2UNR022,22,6100,2991,NR in plane
URYDR,"RMDDL,RMDVR",1,60500,3724,N2UNR022,22,5765,2697,NR in plane
OLLR,"AVEL,RIBR",2,59816,3424,N2UNR022,22,6618,3374,NR 45 deg
RIS,"RIBR,AVEL",1,59814,3423,N2UNR022,22,6658,3168,NR 45 deg
URADR,RIPR,1,65201,5462,N2UNR022,22,5860,2781,NR in plane
URADR,"URYDR,RIPR",1,65200,5457,N2UNR022,22,5815,2786,NR in plane
OLLR,CEPDR,1,64642,5283,N2UNR022,22,5785,2247,NR in plane
RIS,"AVEL,URYDR,RIBR",1,56495,1772,N2UNR022,22,6558,3015,NR 45 deg
OLLR,"AVEL,CEPDR",1,62995,4830,N2UNR022,22,6100,2559,NR in plane
IL1DR,"RIPR,URADR",1,61279,3958,N2UNR022,22,5868,2730,NR in plane
CEPDL,RIH,1,62463,4550,N2UNR022,22,3794,1974,NR in plane
OLLR,"RMDVR,IL1DR",1,466620,9453,N2UNR023,23,5702,2292,NR in plane
IL2DL,RIPL,3,59828,3427,N2UNR023,23,3850,2492,NR in plane
RIPL,"RIPL,RIPL",1,65400,5539,N2UNR023,23,3712,2626,NR in plane
URADR,"dBWMR1,RIPR",1,65281,5484,N2UNR023,23,5859,2784,NR in plane
OLLR,"RIBR,RMER",1,62996,4831,N2UNR023,23,6606,3500,NR 45 deg
RIS,"AVEL,SMDDL,RIBR",1,56494,1771,N2UNR023,23,6587,3016,NR 45 deg
CEPDR,"AVEL,OLLR",2,62992,4828,N2UNR023,23,6245,2720,NR in plane
IL2DL,RIH,1,62576,4601,N2UNR023,23,3599,2467,NR in plane
RIPR,"RIH,OLQVR",1,61074,3948,N2UNR023,23,6080,4484,NR 45 deg
IL1DR,"RIPR,RMDVR",1,65280,5491,N2UNR023,23,5846,2710,NR in plane
RMDDR,dBWML2,1,469450,9689,N2UNR023,23,4618,2323,NR in plane
IL1DR,"RMDVR,URYDR",2,60482,3719,N2UNR023,23,5608,2321,NR in plane
OLLR,CEPDR,1,56413,1737,N2UNR024,24,6450,3066,NR 45 deg
URADR,"dBWMR1,RIPR",1,65128,5430,N2UNR024,24,5869,2763,NR in plane
IL2R,"OLQDR,RIH",2,64579,5252,N2UNR024,24,6191,3921,NR 45 deg
