ADAL,5713,63449,84109,43946,0
ADAR,159,59820,84720,14811,0
ADEL,230,28258,2529,44907,1
ADEL,5733,33842,82277,84254,1
ADER,43,30588,84359,451118,1
ADER,270,27755,2979,25305,1
ADFL,91,53203,80661,41538,0
ADFR,178,51883,78114,16168,0
ADLL,203,35817,2212,67850,0
ADLR,298,79912,2056,3369,1
AFDL,82,44716,75349,43914,0
AFDR,183,47654,75673,34051,0
AIAL,9095,56951,82847,57591,0
AIAR,299,74956,83048,42427,0
AIBL,123,99044,79223,72202,0
AIBR,120,106484,78465,71134,0
AIML,69,52816,82876,42686,0
AIMR,171,64602,83454,34646,0
AINL,184,78956,2530,74856,0
AINR,83,79229,2935,75390,0
AIYL,81,65809,82811,40965,0
AIYR,180,73997,83418,59364,0
AIZL,119,60055,80698,33138,0
AIZR,1147,59567,81932,34591,0
ALA,200,59037,2181,2134,0
ALML,30,33496,2443,326,0
ALMR,65,25458,707,49905,1
ALMR,259,21538,49661,2846,1
ALNL,226,27680,2485,60223,1
ALNR,265,24621,2914,25402,1
AQR,10244,79358,83273,33692,1
ASEL,80,96294,79219,69416,0
ASER,188,98553,82270,4712,0
ASGL,75,4235,10591,45677,1
ASGR,173,41083,82239,18546,1
ASHL,9096,54714,465407,60875,0
ASHR,176,61153,81944,60985,0
ASIL,186,47412,79252,64945,1
ASIR,2210,58723,77678,46323,1
ASJL,306,46331,79198,42925,0
ASJR,168,47866,478175,42234,0
ASKL,5640,49761,79241,65808,0
ASKR,167,38656,78565,467999,0
AUAL,92,59031,79292,39419,0
AUAR,181,59212,77789,61974,0
AVAL,124,66501,84608,2290,0
AVAR,3,96013,4306,83862,0
AVBL,58,104603,80669,84535,0
AVBR,27,107652,81092,82981,0
AVDL,145,88482,2551,84907,0
AVDR,28,90391,2980,83343,0
AVEL,208,105796,2267,83649,0
AVER,118,100453,2133,82911,0
AVFL,7021,88998,84144,68389,0
AVFR,7020,94330,84215,70033,0
AVHL,175,82495,2574,84570,0
AVHR,88,90314,2957,83790,0
AVJL,154,82018,2573,85029,0
AVJR,10241,79339,2958,83308,0
