RIFL,16,57750,83897,45561,0
RIFR,157,62698,85098,60959,0
RIGL,9581,73953,82946,32835,0
RIGR,133,63206,82699,56118,0
RIH,97,75590,6203,40625,0
RIML,14,103350,76337,18863,0
RIMR,172,85907,77763,14857,1
RIPL,1249,41745,45713,61319,1
RIPR,1280,41777,49071,55649,1
RIR,47,87453,80404,32568,0
RIS,303,115212,83109,67728,0
RIVL,105,87119,2596,75008,1
RIVR,10488,87345,2867,70823,1
RMDDL,41,72404,73578,30553,0
RMDDR,322,73351,73687,11443,1
RMDL,207,78031,2256,24954,0
RMDR,1246,83369,2112,45663,0
RMDVL,53,80258,66344,10863,0
RMDVR,1300,76928,68593,37017,0
RMED,9712,85627,22676,422656,1
RMEL,1269,79307,50810,50820,1
RMER,1264,63568,55477,62171,1
RMEV,96,80125,22211,84318,0
RMFL,339,98355,76048,450449,0
RMFR,107,98470,80372,68360,0
RMGL,6,62587,83684,16040,0
RMGR,155,60197,85329,53183,0
RMHL,23,74302,76107,53199,0
RMHR,1261,73111,76158,62238,0
SAADL,39,107112,49257,83719,0
SAADR,106,111283,44426,84394,0
SAAVL,320,93782,79481,2464,0
SAAVR,9579,100035,75436,2845,0
SABD,6328,18199,452629,84643,0
SDQL,222,32592,23950,44619,1
SDQR,25,51587,2824,69571,1
SIADL,255,102349,83006,2802,0
SIADR,163,100955,83086,2508,0
SIAVL,116,51476,76218,41969,0
SIAVR,54,95584,83394,85305,1
SIBDL,9744,91911,478074,470603,0
SIBDR,9742,84082,470805,470588,0
SIBVL,9740,106939,471931,470274,0
SIBVR,9739,115770,471865,470390,0
SMBDL,102,107223,2823,450835,0
SMBDR,224,101678,2463,83179,0
SMBVL,321,79934,451555,450952,0
SMBVR,51,93590,85312,450844,0
SMDDL,40,106651,2801,76067,0
SMDDR,50,92954,450912,2486,0
SMDVL,109,94147,451986,2608,0
SMDVR,10482,94608,451584,30011,0
URADL,1272,41996,50520,57206,1
URADR,1308,29853,55132,57111,1
URAVL,1262,38294,50467,62535,1
URAVR,1283,43508,56069,56918,1
URBL,1241,46178,55901,58784,1
URBR,1288,30443,50804,55573,1
URXL,201,55981,12916,45868,1
URXR,1146,51237,2172,39000,1
URYDL,1273,42989,31607,50353,1
URYDR,1309,35177,51694,51709,1
URYVL,1248,47324,47453,55821,1
URYVR,326,37027,19848,19876,1
VB01,111,46412,83754,44234,0
VB02,286,66922,84003,38745,0
VC01,7056,13051,82734,324337,0
VD01,5772,9386,83497,450864,0
