ASJL,"['PVQL', 'ASKL']",2,5641,NR
PVPL,['AVBL'],1,62,NR
AIZL,"['RIAL', 'SMBDL']",2,371,NR
AIZL,"['AIBR', 'AVER']",1,372,NR
AWAL,['AFDL'],1,374,NR
RIML,['AIBR'],2,379,NR
ASEL,['AIYL'],3,380,NR
AIYL,"['RIAL', 'RIBL']",3,381,NR
ADFL,['RIAL'],1,382,NR
SDQL,['AVAR'],2,393,NR
ASGL,"['AIAL', 'AIBL']",2,397,NR
AIML,"['AIAL', 'ASGL']",1,398,NR
ADFL,"['SMBVL', 'RIAL']",1,400,NR
AWBL,['ADFL'],6,406,NR
AWCL,['AIYL'],3,407,NR
ASEL,['AIYL'],2,408,NR
AIZL,"['RIAL', 'SMBDL']",1,410,NR
PVPL,['AVBL'],3,10247,NR
ADFL,"['AIZL', 'RIAL']",1,419,NR
RIFL,['AVBL'],1,423,NR
ASGL,"['AIAL', 'AIBL']",2,425,NR
RIAL,"['SMDVR', 'SMDDL']",1,427,NR
SMBVL,['SAADL'],3,9584,NR
AVHL,['SMBVR'],2,434,NR
AWAL,['AFDL'],2,437,NR
AWAL,['AFDL'],1,438,NR
ASGL,"['AIAL', 'AIBL']",2,440,NR
RIFL,['AVBL'],1,442,NR
RIFL,"['AVJR', 'AVBL']",2,443,NR
ADFL,"['SMBVL', 'RIAL']",1,446,NR
AIZL,"['SMBVL', 'SMBDL']",2,447,NR
FLPL,"['AVDL', 'ADEL']",19,456,NR
AIAL,['AIBL'],1,457,NR
RIFL,"['AVJR', 'AVBL']",1,459,NR
ALML,['BDUL'],3,460,NR
ALML,['PVCL'],1,461,NR
ALML,['PVCL'],1,462,NR
ALML,['PVCL'],1,463,NR
ASIL,['AWCL'],2,464,NR
ASEL,['AIYL'],3,465,NR
AWCL,['AIBL'],1,466,NR
ADLL,"['AWCL', 'AIBL']",2,467,NR
ASEL,['AIYL'],2,468,NR
AFDL,['AIYL'],5,470,NR
ADFL,"['RIAL', 'AUAL']",2,471,NR
AUAL,"['RIAL', 'RIBL']",2,473,NR
ADFL,"['RIAL', 'AUAL']",2,474,NR
AIZL,"['SMBVL', 'SMBDL']",4,479,NR
AIZL,"['RIAL', 'SMBVL']",3,480,NR
ADFL,"['SMBVL', 'AIZL', 'RIAL']",2,481,NR
RIAL,"['SMDVR', 'RMDDL']",2,485,NR
AIZL,"['RIML', 'AIBR']",5,487,NR
ASIL,['AWCR'],1,500,NR
AIZL,"['AIBR', 'AVER']",2,501,NR
SMDVL,"['RIAR', 'SMDDR']",1,505,NR
PLNL,['SMBVL'],2,9585,NR
SMBVL,['SAADL'],7,9586,NR
AIBL,"['SMDDR', 'RIMR']",3,508,NR
ASJL,['PVQL'],3,527,NR
ASJL,['PVQL'],4,528,NR
ADEL,['AVDL'],2,530,NR
ALNL,"['SMBDR', 'SAAVL']",3,9310,NR
SMBDL,['SAAVR'],3,534,NR
AIML,"['AIAL', 'ASGL', 'ASKL']",3,5657,NR
ASJL,"['PVQL', 'ASKL']",2,5658,NR
ASKL,"['AIAL', 'AIML']",2,5659,NR
AVFL,"['AVFR', 'AVBL']",2,540,NR
ALML,['PVCL'],3,542,NR
ALML,['BDUL'],1,543,NR
