PVPL,['AQR'],1,10283,NR
PVPL,['AQR'],5,10284,NR
ASEL,['AFDR'],2,5630,NR
PVQL,['ASKL'],1,5664,NR
RMDL,['RIML'],1,922,NR
RIGL,['AIBR'],2,5532,NR
PVPL,['AQR'],11,10285,NR
PVQL,['ASKL'],5,5676,NR
PVPL,['AQR'],1,1231,NR
PVPL,['AQR'],10,1232,NR
ASKL,['AIBL'],1,5677,NR
PVQL,['ASJL'],1,4294,NR
RIBL,['RIAL'],1,5526,NR
URBL,['IL1L'],2,5555,NR
SMDVL,['RIAL'],1,2195,NR
AIYL,['AFDL'],2,2387,NR
ASKL,['AIAL'],1,5678,NR
ASKL,['AIAL'],1,5698,NR
SMDDL,['SAAVR'],1,2468,NR
SMDDL,['SAAVR'],1,2469,NR
SMDDL,['SAAVR'],1,2470,NR
SMDDL,['SAAVR'],1,2471,NR
AIZL,['AIBR'],2,2477,NR
AIZL,['AIBR'],1,2517,NR
SMDDL,['RIAR'],1,5547,NR
SMDVL,['RIAL'],1,2626,NR
SMDVL,['RIAL'],2,2627,NR
RMGL,['AVEL'],2,2740,NR
FLPL,['AVDL'],1,2850,NR
SDQL,['DVA'],1,2859,NR
SMBDL,['SAAVR'],1,3123,NR
PVPL,['AQR'],1,3310,NR
PVPL,['AQR'],3,3453,NR
PVPL,['AQR'],1,3559,NR
URAVL,['RIPL'],1,4234,NR
PVPL,['AVAL'],1,4240,NR
PVQL,['ASKL'],1,5700,NR
RIML,['AVAR'],1,4554,NR
RIML,['AVAR'],1,4555,NR
RIML,['AVAR'],1,4556,NR
RIGL,['AIZL'],1,4880,NR
PVCL,['AVJR'],2,5011,NR
PVCL,['AVJR'],1,5012,NR
ASHL,['ADFL'],1,5026,NR
BDUL,['ALML'],1,5031,NR
RIGL,['RIBL'],3,5385,NR
URXL,['RMGL'],2,5604,NR
RIGL,['OLQVL'],2,5536,NR
PVPL,['AQR'],8,10286,VC
RIML,['AIBR'],2,6069,VC
PVQL,['ASKL'],1,6081,VC
AWCL,['ASEL'],1,6084,VC
AWAL,['AIZL'],3,6085,VC
AWBL,['AIAL'],1,6111,VC
RIGL,['AIBR'],1,8855,NR
RIML,['AVAR'],5,9517,NR
RIBL,['AVBR'],3,9266,NR
FLPL,['AVDL'],4,9267,NR
URXL,['RMGL'],1,9304,NR
FLPL,['AIBL'],1,9424,VC
ASIL,['AIAL'],1,9427,VC
SMDVL,['SMDDR'],1,9671,NR
ASHL,['ADAL'],2,9902,VC
PVPL,['AQR'],2,10289,NR
PVPL,['AQR'],2,10290,VC
PVPL,['AQR'],6,10291,VC
