AWAL,['AIZL'],1,78,NR
PVPL,"['AVHR', 'AVAR']",3,83,NR
ADEL,"['ADER', 'RIGL']",4,86,NR
ADEL,"['ADER', 'RIGL', 'AVAR']",1,87,NR
ADEL,"['RIGL', 'ADER']",3,88,NR
ADEL,"['RIGL', 'AVAR', 'ADER']",2,89,NR
PVCL,['AVBL'],2,200,NR
AVJL,['AVBL'],4,201,NR
FLPL,['AVDL'],6,244,NR
FLPL,['AVDL'],7,245,NR
ADEL,['RIGR'],4,293,NR
ADEL,"['AVAL', 'RIGR']",3,295,NR
ADEL,"['AVAL', 'RIGR']",4,296,NR
ADEL,"['AVAL', 'RIGR']",3,297,NR
SMBVL,['RMEV'],3,300,NR
SMBVL,['RMEV'],2,301,NR
SMBVL,['RMEV'],3,302,NR
PVQL,['ASKL'],1,304,NR
ASJL,"['PVQL', 'ASKL']",5,305,NR
PVQL,['ASKL'],1,306,NR
ASJL,['PVQL'],1,307,NR
ASIL,"['AWCL', 'AIBL']",2,311,NR
ASIL,"['AIBL', 'AWCL']",1,312,NR
BDUL,['AVJR'],1,362,NR
BDUL,['AVJR'],3,363,NR
ASEL,"['AIYL', 'AIBL']",5,364,NR
ASIL,"['AIBL', 'AWCL']",2,365,NR
ASEL,"['AIYL', 'AIBL']",2,366,NR
ASIL,"['AIBL', 'AWCL']",1,367,NR
AWCL,"['ASIL', 'AIYL', 'AIBL']",8,369,NR
ASEL,['AIBL'],2,370,NR
AIZL,"['SMBVL', 'RIML']",2,371,NR
ADFL,['AIZL'],2,372,NR
AWAL,['AWBL'],5,373,NR
AWBL,['ADFL'],2,374,NR
AWBL,['ADFL'],2,375,NR
FLPL,['AVAR'],1,378,NR
FLPL,['AVAR'],5,380,NR
AVHL,['PVPR'],1,389,NR
PVQL,['AIAL'],4,392,NR
ASHL,['AIAL'],2,393,NR
AIML,"['AIAL', 'ASGL']",2,394,NR
AIAL,"['RIFL', 'AIBL']",3,395,NR
ASGL,['AIAL'],7,396,NR
AIML,"['AIAL', 'ASGL']",1,397,NR
ASGL,['AIAL'],7,398,NR
AIAL,"['RIFL', 'AIBL']",17,399,NR
ASGL,['AIAL'],3,400,NR
ASHL,"['AIBL', 'AIAL']",3,401,NR
ASGL,['AIAL'],5,402,NR
AIAL,"['RIFL', 'AIBL']",5,403,NR
ASKL,['AIAL'],2,404,NR
ASKL,['AIAL'],1,405,NR
ASKL,['AIAL'],2,406,NR
ASGL,['AIAL'],2,407,NR
ASKL,['AIAL'],2,408,NR
ASHL,['AIAL'],2,409,NR
ASHL,['AIAL'],1,410,NR
AIAL,['AIBL'],3,411,NR
PVQL,"['AIAL', 'ASKL']",1,412,NR
ASHL,"['AIBL', 'AIAL']",3,413,NR
ASKL,"['AIAL', 'AIML']",1,414,NR
ASIL,"['ASGL', 'AIAL', 'AIBL']",3,415,NR
SMBVL,['SAADL'],3,447,NR
SMBVL,['SAADL'],3,448,NR
SMBVL,['SAADL'],2,449,NR
SMBVL,['SAADL'],5,450,NR
PLNL,"['SMBVL', 'SAADL']",2,451,NR
PLNL,"['SMBVL', 'SAADL']",2,452,NR
SMBVL,"['SAADL', 'PLNL']",1,453,NR
PLNL,"['SMBVL', 'SAADL']",1,454,NR
PLNL,"['SMBVL', 'SAADL']",2,455,NR
SMBVL,"['SAADL', 'PLNL']",2,456,NR
AIYL,"['RIBL', 'AIZL']",3,458,NR
AIYL,"['AIZL', 'RIBL']",7,459,NR
