ADAL,unc-5,let-4,lron-13,cdh-9,cdh-12
ADEL,cam-1,ver-3,clr-1,ptp-3,ptp-4,igcm-3,igcm-4,rig-3,rig-4,rig-5,ncam-1,sax-3,sax-7,unc-40,unc-5,wrk-1,zig-1,zig-4,zig-5,zig-8,iglr-2,iglr-3,tol-1,pan-1,dma-1,lron-3,lron-7,lron-10,lron-11,lron-12,sym-1,hmr-1,cdh-4,fmi-1,cdh-1,cdh-8,nrx-1,nlr-1,lat-1,nlg-1,glit-1
ADFL,cam-1,clr-1,ptp-3,igcm-1,igcm-2,igcm-3,igcm-4,rig-3,rig-4,ncam-1,sax-3,sax-7,syg-1,syg-2,unc-40,unc-5,wrk-1,zig-1,zig-8,zig-10,pxn-2,iglr-1,iglr-2,slt-1,tol-1,pan-1,let-4,dma-1,lron-3,lron-7,lron-10,lron-13,hmr-1,cdh-3,cdh-4,fmi-1,casy-1,cdh-9,Y37E11AL.6,nrx-1,nlr-1,lat-1
ADLL,ver-3,rig-1,rig-3,lad-2,syg-1,syg-2,wrk-1,zig-8,iglr-1,let-4,dma-1,lron-13,cdh-9,lat-1
AFDL,ptp-4,oig-8,lron-11
AIAL,cam-1,clr-1,ptp-3,igcm-3,igcm-4,rig-4,sax-3,sax-7,unc-40,wrk-1,iglr-2,pan-1,lron-3,hmr-1,cdh-4,fmi-1,casy-1,lat-1
AIBL,cam-1,clr-1,ptp-3,igcm-4,sax-7,iglr-2,lron-3,hmr-1,cdh-4,fmi-1,casy-1
AIML,cam-1,clr-1,ptp-3,ptp-4,him-4,igcm-1,igcm-3,igcm-4,rig-1,rig-3,rig-4,rig-6,ncam-1,sax-3,sax-7,lad-2,syg-1,unc-40,wrk-1,zig-4,zig-5,iglr-2,tol-1,pan-1,dma-1,lron-3,lron-7,lron-10,lron-11,hmr-1,cdh-3,cdh-4,fmi-1,casy-1,cdh-8,cdh-9,lat-1,nlg-1
AIYL,cam-1,clr-1,ptp-3,ptp-4,igcm-1,igcm-3,igcm-4,rig-4,sax-3,sax-7,unc-40,unc-5,zig-1,zig-5,iglr-2,tol-1,pan-1,let-4,lron-2,lron-3,lron-7,hmr-1,cdh-3,cdh-4,fmi-1,casy-1,nrx-1,nlr-1
AIZL,Y37E11AL.6
ALML,zig-3,slt-1
ASEL,cam-1,clr-1,ptp-3,ptp-4,igcm-3,igcm-4,rig-5,sax-7,syg-2,wrk-1,zig-1,zig-7,madd-4,iglr-1,iglr-2,iglr-3,dma-1,lron-3,lron-5,lron-12,hmr-1,cdh-4,fmi-1,casy-1,nrx-1,lat-1
ASGL,cam-1,zig-3
ASHL,cam-1,egl-15,ver-3,clr-1,ptp-3,ptp-4,igcm-1,igcm-3,igcm-4,rig-1,rig-4,rig-5,ncam-1,sax-3,sax-7,syg-1,syg-2,unc-40,unc-5,wrk-1,zig-1,zig-3,zig-5,zig-8,igeg-1,igeg-2,iglr-1,iglr-2,tol-1,pan-1,dma-1,lron-3,lron-10,lron-11,hmr-1,cdh-3,cdh-4,fmi-1,casy-1,cdh-8,cdh-9,Y37E11AL.6,nrx-1,nlr-1,bam-2,lat-1,glit-1
ASIL,cam-1,clr-1,ptp-3,ptp-4,igcm-1,igcm-3,igcm-4,oig-8,rig-4,rig-5,rig-6,sax-3,sax-7,syg-2,unc-40,unc-5,wrk-1,zig-1,zig-8,zig-10,madd-4,pxn-1,iglr-2,tol-1,pan-1,dma-1,lron-3,lron-7,lron-10,hmr-1,cdh-3,cdh-4,fmi-1,casy-1,cdh-5,cdh-8,cdh-12,nrx-1,nlr-1,lat-1
ASJL,zig-3
ASKL,cam-1,pxn-2
AUAL,igcm-2,rig-3,rig-6,lad-2,lron-10,lron-15,cdh-1,cdh-8,cdh-12,bam-2
AVAL,oig-1,zig-4,let-4
AVBL,lron-12
AVDL,egl-15,ver-3,clr-1,ptp-3,ptp-4,igcm-1,igcm-3,igcm-4,rig-4,rig-5,ncam-1,sax-3,syg-2,unc-40,unc-5,wrk-1,zig-1,zig-3,zig-4,zig-5,zig-8,igeg-1,igeg-2,iglr-2,iglr-3,tol-1,pan-1,dma-1,lron-3,lron-10,lron-11,lron-12,sym-1,hmr-1,cdh-3,cdh-4,fmi-1,cdh-8,Y37E11AL.6,nrx-1,nlr-1,bam-2,glit-1
AVEL,egl-15,lron-15,sym-1,Y37E11AL.6
AVKL,-999
