JSH001,BAGL,URYVL,1,2
JSH001,BAGL,OLQDL,1,1
JSH001,RMEL,RIPL,1,1
JSH001,RIPL,OLQDL,1,3
JSH001,OLQVL,IL2VL,1,1
JSH001,IL1L,URBL,1,1
JSH001,IL1L,OLLL,1,1
JSH001,URBL,RMER,0,1
JSH001,IL2L,OLLL,1,1
JSH001,IL2L,RMED,1,1
JSH001,IL2L,RMER,1,1
JSH001,OLLL,RIBL,1,1
JSH001,RMER,RMDVL,1,1
JSH001,RMED,SMDVR,1,1
JSH001,RMED,RMDDR,1,1
JSH001,RMED,RMDDL,1,1
JSH001,RMED,SMDVL,1,1
JSH001,RMEV,IL2DR,1,1
JSH001,RMEV,SMDVR,1,0
JSH001,OLQDL,CEPDL,1,1
JSH001,OLQDL,URADL,1,1
JSH001,IL1DL,RMDDR,1,1
JSH001,IL1DL,CEPDL,1,1
JSH001,IL1VR,CEPVR,1,1
JSH001,IL2VR,CEPVR,1,2
JSH001,IL1R,URADR,1,1
JSH001,IL2DR,OLQDR,1,1
JSH001,IL2DR,URYDR,1,1
JSH001,URADR,CEPDR,1,1
JSH001,URADR,OLQDR,1,2
JSH001,OLQDR,CEPDR,1,1
JSH001,CEPDR,IL1DR,1,1
JSH001,RMDDL,SMDVR,1,1
JSH001,RMDDL,URYDL,0,1
JSH001,SMDVR,RMDDR,0,1
JSH001,RMDVL,CEPDL,1,1
JSH001,RMDDR,SMDVL,1,1
JSH001,URYDL,SMDVL,1,1
JSH001,URYDL,URADL,1,2
