EM series	continNum 	Location	pre  	post   	type    	sec-tions   	part-ner Num-ber	post1     	post2   	post3 	post4   
JSE	1839		VA11	AVAR	electrical	1	1	VA11			
JSE	1840		AVAR	AVAL	electrical	1	1	AVAR			
JSE	1843		AVDR	AVAL	electrical	1	1	AVDR			
JSE	1844		DVC	AVL	electrical	1	1	DVC			
JSE	1845		b18	VA10	electrical	1	1	VA10			
JSE	1847		VA12	PVCR	electrical	1	1	PVCR			
JSE	1848		PVCR	DA07	electrical	1	1	PVCR			
JSE	1849		DVB	AVL	electrical	1	1	DVB			
JSE	1962		PVR.	PVCR	electrical	1	1	PVCR			
JSE	1964		hyp	gx	electrical	1	1	hyp			
JSE	1965		PVR.	PVNR	electrical	1	1	PVR			
JSE	1966		PVR.	PVCR	electrical	1	1	PVR			
JSE	1967		hyp	PVR	electrical	1	1	hyp			
JSE	1970		hyp	PHAR.	electrical	1	1	hyp			
JSE	1971		hyp	PVWR	electrical	1	1	hyp			
JSE	1972		hyp	g0	electrical	1	1	hyp			
JSE	1973		PLNL	PHCL	electrical	1	1	PLNL			
JSE	1974		hyp	PHAL	electrical	1	1	hyp			
JSE	1975		PVR.	ALNR	electrical	1	1	ALNR			
JSE	1976		PLNL	PHAL	electrical	1	1	PHAL			
JSE	1977		PVNL	PQR	electrical	1	1	PVNL			
JSE	1978		PVNL	PQR	electrical	1	1	PVNL			
JSE	1979		PLNL	PHBL	electrical	1	1	PLNL			
JSE	1980		hyp	PhshR	electrical	1	1	hyp			
JSE	1981		hyp	PhshR	electrical	1	1	hyp			
JSE	1983		hyp	PhshR	electrical	1	1	hyp			
JSE	1984		PVR.	ALNR	electrical	1	1	ALNR			
JSE	1985		PVR.	ALNR	electrical	1	1	ALNR			
JSE	1987		PVR.	ALNR	electrical	1	1	ALNR			
JSE	1988		PhshR	PVNR	electrical	1	1	PVNR			
JSE	1989		hyp	PVR	electrical	1	1	hyp			
JSE	1990		PHCR	PHBR	electrical	1	1	PHCR			
JSE	1991		hyp	PLML	electrical	1	1	hyp			
JSE	1994		b28	PHBL	electrical	1	1	b28			
JSE	1995		PhshL	PLML	electrical	1	1	PLML			
JSE	1996		hyp	ALNL	electrical	1	1	hyp			
JSE	1997		hyp	PVR	electrical	1	1	hyp			
JSE	1998		hyp	PhshR	electrical	1	1	hyp			
JSE	1999		hyp	PhshR	electrical	1	1	hyp			
JSE	2000		hyp	PHBR	electrical	1	1	hyp			
JSE	2002		PVR.	ALNR	electrical	1	1	PVR			
JSE	2003		hyp	g0	electrical	1	1	hyp			
JSE	2004		hyp	PhshL	electrical	1	1	hyp			
JSE	2005		hyp	PHBL	electrical	1	1	hyp			
JSE	2006		hyp	PLML	electrical	1	1	hyp			
JSE	2007		hyp	g0	electrical	1	1	hyp			
JSE	2008		hyp	PVR	electrical	1	1	hyp			
JSE	2010		hyp	PQR	electrical	1	1	hyp			
JSE	2011		PVR.	ALNR	electrical	1	1	ALNR			
JSE	2012		hyp	Phso1R	electrical	1	1	hyp			
JSE	2013		hyp	PhshL	electrical	1	1	hyp			
JSE	2014		hyp	PVR	electrical	1	1	hyp			
JSE	2016		hyp	PLML	electrical	1	1	hyp			
JSE	2017		hyp	PLNR	electrical	1	1	hyp			
JSE	2018		hyp	PhshR	electrical	1	1	hyp			
JSE	2019		hyp	Phso1R	electrical	1	1	hyp			
JSE	2020		PHCL	PHAL	electrical	1	1	PHCL			
JSE	2021		r28	hyp	electrical	1	1	hyp			
JSE	2023		hyp	Phso1R	electrical	1	1	hyp			
JSE	2024		hyp	PVR	electrical	1	1	hyp			
JSE	2025		PVR.	ALNR	electrical	1	1	ALNR			
JSE	2026		PVR.	ALNR	electrical	1	1	ALNR			
JSE	2028		hyp	PhshL	electrical	1	1	hyp			
JSE	2029		hyp	Phso2L	electrical	1	1	hyp			
JSE	2030		PVR.	ALNR	electrical	1	1	ALNR			
JSE	2031		hyp	PhshL	electrical	1	1	hyp			
JSE	2033		hyp	PVR	electrical	1	1	hyp			
JSE	2035		hyp	Phso2R	electrical	1	1	hyp			
JSE	2036		hyp	PHCL	electrical	1	1	hyp			
JSE	2037		r28	ALNL	electrical	1	1	r28			
JSE	2038		Phso1L	PhshL	electrical	1	1	PhshL			
JSE	2039		PLNL	PHCL	electrical	1	1	PLNL			
JSE	2040		Phso1R	PhshR	electrical	1	1	Phso1R			
JSE	2041		hyp	Phso2L	electrical	1	1	hyp			
JSE	2043		PDB	AS11	electrical	1	1	PDB			
JSE	2045		hyp	Phso1L	electrical	1	1	hyp			
JSE	2047		PLNR	PLMR	electrical	1	1	PLNR			
JSE	2048		hyp	PDB	electrical	1	1	hyp			
JSE	2049		hyp	PDB	electrical	1	1	hyp			
JSE	2050		hyp	Phso2L	electrical	1	1	hyp			
JSE	2051		Phso1L	PhshL	electrical	1	1	PhshL			
JSE	2053		hyp	Phso2R	electrical	1	1	hyp			
JSE	2055		PDB	AS11	electrical	1	1	AS11			
JSE	2057		r28	hyp	electrical	1	1	hyp			
JSE	2058		Phso2L	Phso1L	electrical	1	1	Phso2L			
JSE	2060		hyp	PVR	electrical	1	1	hyp			
JSE	2061		Phso2L	Phso1L	electrical	1	1	Phso2L			
JSE	2063		r28	hyp	electrical	1	1	hyp			
JSE	2065		r28	hyp	electrical	1	1	hyp			
JSE	2098		hyp	PDA	electrical	1	1	hyp			
JSE	2099		hyp	PDB	electrical	1	1	hyp			
JSE	2100		RID	DA09	electrical	1	1	RID			
JSE	2103		PDA	DA09	electrical	1	1	DA09			
JSE	2104		RID	AS11	electrical	1	1	RID			
JSE	2108		PLNR	PHAR.	electrical	1	1	PHAR			
