EM series	continNum 	Location	pre  	post   	type    	sec-tions   	part-ner Num-ber	post1     	post2   	post3 	post4   
N2U	5809	Not NR	AIYL	AIZL,RIAL,RIBL	chemical	23	3	AIZL	RIAL	RIBL	
N2U	2962	Not NR	RIGR	RIGL	electrical	20	1	RIGL			
N2U	456	Not NR	FLPL	AVDL,ADEL	chemical	19	2	AVDL	ADEL		
N2U	5795	Not NR	ASGL	AIAL	chemical	17	1	AIAL			
N2U	6061	Not NR	SMBVR	SAAVL	electrical	17	1	SAAVL			
N2U	6095	Not NR	PVPR	AQR	electrical	17	1	AQR			
N2U	4887	NR 45 deg	RMEV	GLRVR	electrical	17	1	GLRVR			
N2U	913	Not NR	AVM	ALMR	electrical	16	1	ALMR			
N2U	5784	Not NR	ASGR	AIAR	chemical	15	1	AIAR			
N2U	5848	Not NR	AIYR	RIAR,AIZR,RIBR	chemical	15	3	RIAR	AIZR	RIBR	
N2U	4618	NR 45 deg	RIGR	AVKL,RMHL	chemical	14	2	AVKL	RMHL		
N2U	6087	Not NR	RIGR	RIGL	electrical	14	1	RIGL			
N2U	6303	Not NR	RIGR	RIGL	electrical	14	1	RIGL			
N2U	8180	Not NR	FLPR	DA03	electrical	14	1	DA03			
JSE	320		PHBL	AVAL,PVCL	chemical	13	2	AVAL	PVCL		
N2U	503	Not NR	ADFR	RIAR,SMBVR,AIZR	chemical	13	3	RIAR	SMBVR	AIZR	
N2U	750	NR 45 deg	RIAR	RMDDR,RMDVL	chemical	13	2	RMDDR	RMDVL		
N2U	3767	NR 45 deg	RMDDR	dBWML4,RMDVL	chemical	13	2	dBWML4	RMDVL		
N2U	3620	NR in plane	RIGL	RMHR,AVKR	chemical	13	2	RMHR	AVKR		
N2U	6209	Not NR	SABVL	AVAR	electrical	13	1	AVAR			
N2U	9783	Not NR	SIBVL	SIBDL	electrical	13	1	SIBDL			
N2U	6059	Not NR	RIVR	RIVL	electrical	12	1	RIVL			
JSE	266		LUAL	AVAR,AVDL	chemical	11	2	AVAR	AVDL		
JSE	272		PHBR	AVAR,PVCL	chemical	11	2	AVAR	PVCL		
N2U	769	NR 45 deg	RMDVL	vBWMR2,RMDDR,vBWMR3,vBWMR6	chemical	11	4	vBWMR2	RMDDR	vBWMR3	vBWMR6
N2U	1419	NR 45 deg	AIZR	AVEL,AIBL	chemical	11	2	AVEL	AIBL		
N2U	6062	Not NR	DVA	AVBL	electrical	11	1	AVBL			
N2U	6122	Not NR	DB01	AVBR	electrical	11	1	AVBR			
N2U	6417	Not NR	RIGR	RIGL	electrical	11	1	RIGL			
N2U	10285	Not NR	PVPL	AQR	electrical	11	1	AQR			
N2U	5568	NR 45 deg	IL1VR	IL1VL	electrical	11	1	IL1VL			
JSE	359		PHBL	AVAL,PVCL	chemical	10	2	AVAL	PVCL		
JSE	990		PHBR	AVHL	electrical	10	1	AVHL			
N2U	444	Not NR	SDQR	AVBR,RMHL	chemical	10	2	AVBR	RMHL		
N2U	5787	Not NR	AIYR	RIAR,AIZR,RIBR	chemical	10	3	RIAR	AIZR	RIBR	
N2U	5895	Not NR	AIAL	RIFL,AIBL	chemical	10	2	RIFL	AIBL		
N2U	6479	Not NR	FLPL	AVAR,AVBR,AVBL,AVDR	chemical	10	4	AVAR	AVBR	AVBL	AVDR
N2U	1610	NR 45 deg	IL2VR	RIPR,RMEV,RMER,IL1VR	chemical	10	4	RIPR	RMEV	RMER	IL1VR
N2U	4043	NR 45 deg	RIH	RIPL,OLQVL	chemical	10	2	RIPL	OLQVL		
N2U	2926	NR in plane	CEPDL	OLQDL,IL1DL	chemical	10	2	OLQDL	IL1DL		
N2U	9800	Not NR	SIBVR	SIBDR	electrical	10	1	SIBDR			
N2U	1232	NR 45 deg	PVPL	AQR	electrical	10	1	AQR			
N2U	4469	NR 45 deg	RMER	GLRR	electrical	10	1	GLRR			
N2U	5048	NR 45 deg	RMEL	GLRL	electrical	10	1	GLRL			
JSE	253		PHBL	AVAR,PVCL	chemical	9	2	AVAR	PVCL		
JSE	338		AVAR	PVCR,LUAR	chemical	9	2	PVCR	LUAR		
JSE	890		PVQR	PVQL	electrical	9	1	PVQL			
JSE	1718		DB07	AVBL	electrical	9	1	AVBL			
JSE	2455		PLMR	LUAR	electrical	9	1	LUAR			
N2U	585	Not NR	AIZR	AVEL,AIBL,RIMR	chemical	9	3	AVEL	AIBL	RIMR	
N2U	5866	Not NR	AIAR	AIBR,RIFR	chemical	9	2	AIBR	RIFR		
N2U	8981	Not NR	FLPR	AVBL,AVDL	chemical	9	2	AVBL	AVDL		
N2U	1063	NR 45 deg	SMDVR	vBWML6,vBWML2,SMDDL,vBWML3,RMED	chemical	9	5	vBWML6	vBWML2	SMDDL	
N2U	3759	NR 45 deg	IL1R	RMDDR,vBWMR4	chemical	9	2	RMDDR	vBWMR4		
N2U	3946	NR 45 deg	OLQVR	RIPR,RIH	chemical	9	2	RIPR	RIH		
N2U	5189	NR 45 deg	PVR.	IL1VL,RIPL	chemical	9	2	IL1VL	RIPL		
N2U	5471	NR 45 deg	RMDDL	RMDVR,dBWMR5,dBWMR4,IL1R	chemical	9	4	RMDVR	dBWMR5	dBWMR4	IL1R
N2U	9832	NR 45 deg	OLQVL	RMDVR,SIBDL,SIAVL.	chemical	9	3	RMDVR	SIBDL	SIAVL	
N2U	6047	Not NR	PVQR	ASKR	electrical	9	1	ASKR			
N2U	6079	Not NR	AIZR	AIZL	electrical	9	1	AIZL			
N2U	6105	Not NR	SMBVL	SAAVR	electrical	9	1	SAAVR			
N2U	7924	Not NR	DB03	AVBL	electrical	9	1	AVBL			
N2U	9610	Not NR	SAAVR	RMDVR	electrical	9	1	RMDVR			
N2U	3317	NR 45 deg	AVHR	ASKR	electrical	9	1	ASKR			
N2U	3405	NR in plane	AIZR	AIZL	electrical	9	1	AIZL			
N2W	321		I6	NSML,M4	chemical	9	2	NSML	M4		
JSE	343		PHBR	PVCR,AVAR	chemical	8	2	PVCR	AVAR		
JSE	373		PHBR	AVAL,PVCL	chemical	8	2	AVAL	PVCL		
N2U	5788	Not NR	AIYR	RIBR,AIZR	chemical	8	2	RIBR	AIZR		
N2U	5918	Not NR	RIML	AVBL,AVBR	chemical	8	2	AVBL	AVBR		
N2U	10402	Not NR	HSNR	vm2	chemical	8	1	vm2			
N2U	744	NR 45 deg	CEPVR	RICL,RMHR,RICR	chemical	8	3	RICL	RMHR	RICR	
N2U	772	NR 45 deg	URYVR	RMDVL,RMDDR	chemical	8	2	RMDVL	RMDDR		
N2U	1378	NR 45 deg	PVCL	RID,AVBR,AVDR,PVCR	chemical	8	4	RID	AVBR	AVDR	PVCR
N2U	1735	NR 45 deg	URYVL	RMDVR,RMDDL,OLQVL	chemical	8	3	RMDVR	RMDDL	OLQVL	
N2U	2688	NR 45 deg	RMGR	RMDL,RMDVR	chemical	8	2	RMDL	RMDVR		
N2U	3753	NR 45 deg	IL1VR	RIPR,vBWMR4,RMDDR	chemical	8	3	RIPR	vBWMR4	RMDDR	
N2U	3945	NR 45 deg	OLQVR	RIPR,RIH	chemical	8	2	RIPR	RIH		
N2U	4314	NR 45 deg	RIVR	GLRVL,GLRVR,vBWMR7,vBWMR6,RIVL	chemical	8	5	GLRVL	GLRVR	vBWMR7	
N2U	5220	NR 45 deg	PVR.	RIPR,IL1VR	chemical	8	2	RIPR	IL1VR		
N2U	5490	NR 45 deg	CEPVL	OLQVL,IL1VL,RMDVR,RMHL	chemical	8	4	OLQVL	IL1VL	RMDVR	RMHL
N2U	9814	NR 45 deg	OLQVR	SIBDR,RMDVL	chemical	8	2	SIBDR	RMDVL		
N2U	8900	NR in plane	IL1DL	dBWML6,URADL,RIPL,dBWML1	chemical	8	4	dBWML6	URADL	RIPL	dBWML1
N2U	6154	Not NR	RIS	AVJL	electrical	8	1	AVJL			
N2U	6230	Not NR	SABVR	AVAL	electrical	8	1	AVAL			
N2U	6937	Not NR	AVAR	AVAL	electrical	8	1	AVAL			
N2U	7531	Not NR	VD07	VD06	electrical	8	1	VD06			
N2U	8183	Not NR	VD02	VD01	electrical	8	1	VD01			
N2U	10286	Not NR	PVPL	AQR	electrical	8	1	AQR			
N2U	4472	NR in plane	RIGR	RIGL	electrical	8	1	RIGL			
N2U	9664	NR in plane	ASKR	ASKL	electrical	8	1	ASKL			
JSE	240		LUAR	AVAL,PQR	chemical	7	2	AVAL	PQR		
JSE	354		LUAR	AVDR,AVAR	chemical	7	2	AVDR	AVAR		
JSE	414		PHBL	AVAL,PVCL	chemical	7	2	AVAL	PVCL		
JSE	1061		PVPL	PQR	electrical	7	1	PQR			
N2U	556	Not NR	ADAL	AVBR,AVAR	chemical	7	2	AVBR	AVAR		
N2U	620	Not NR	RIH	AIZR,RIAR	chemical	7	2	AIZR	RIAR		
N2U	2257	Not NR	ASGL	AIAL,AIBL	chemical	7	2	AIAL	AIBL		
N2U	5789	Not NR	RIVL	SAADR	chemical	7	1	SAADR			
N2U	5945	Not NR	PVCL	AVBR,AVER	chemical	7	2	AVBR	AVER		
N2U	5957	Not NR	ADEL	RIGL,AVAR	chemical	7	2	RIGL	AVAR		
N2U	5971	Not NR	ADEL	AVAL,RIGR	chemical	7	2	AVAL	RIGR		
N2U	8980	Not NR	FLPR	AVEL,AVBL	chemical	7	2	AVEL	AVBL		
N2U	9586	Not NR	SMBVL	SAADL	chemical	7	1	SAADL			
N2U	761	NR 45 deg	RMDVL	RMDDR,vBWMR4	chemical	7	2	RMDDR	vBWMR4		
N2U	762	NR 45 deg	RIAR	RMDDR,RMDVL	chemical	7	2	RMDDR	RMDVL		
N2U	779	NR 45 deg	RMDVL	RMDDR,vBWMR4	chemical	7	2	RMDDR	vBWMR4		
N2U	826	NR 45 deg	SMDVL	vBWMR3,vBWMR6,SMDDR,vBWMR2	chemical	7	4	vBWMR3	vBWMR6	SMDDR	vBWMR2
N2U	1062	NR 45 deg	SMDDL	vBWML2,RMED,SMDVR,vBWML3	chemical	7	4	vBWML2	RMED	SMDVR	vBWML3
N2U	2194	NR 45 deg	SMBVR	vBWMR4,vBWMR1	chemical	7	2	vBWMR4	vBWMR1		
N2U	3233	NR 45 deg	SAAVR	AVAR,RIML	chemical	7	2	AVAR	RIML		
N2U	3269	NR 45 deg	CEPshDR	BAGR,SAAVR,RMDVR	chemical	7	3	BAGR	SAAVR	RMDVR	
N2U	3470	NR 45 deg	AUAR	RIBR,RIAR	chemical	7	2	RIBR	RIAR		
N2U	4078	NR 45 deg	IL1L	RMDVL,dBWML4,dBWML3,dBWML5	chemical	7	4	RMDVL	dBWML4	dBWML3	dBWML5
N2U	4582	NR 45 deg	IL2R	OLQVR,RIH	chemical	7	2	OLQVR	RIH		
N2U	5439	NR 45 deg	IL2VR	OLQVR,RIPR,IL1VR	chemical	7	3	OLQVR	RIPR	IL1VR	
N2U	3278	NR in plane	SAAVR	IL1DL,RIPL	chemical	7	2	IL1DL	RIPL		
N2U	3720	NR in plane	URYDR	RMDVR,RMDDL,RMED	chemical	7	3	RMDVR	RMDDL	RMED	
N2U	3780	NR in plane	RIAL	RMDVL,RMDDR,SMBDR	chemical	7	3	RMDVL	RMDDR	SMBDR	
N2U	3815	NR in plane	RMER	dBWML3	chemical	7	1	dBWML3			
N2U	3958	NR in plane	IL1DR	dBWMR1,RMDVR,RIPR,URADR	chemical	7	4	dBWMR1	RMDVR	RIPR	URADR
N2U	5505	NR in plane	URADL	RIPL,dBWML6,dBWML2	chemical	7	3	RIPL	dBWML6	dBWML2	
N2U	4467	Not NR	AVHL	ASKL	electrical	7	1	ASKL			
N2U	6049	Not NR	SMDVR	RMDVR	electrical	7	1	RMDVR			
N2U	6094	Not NR	RIML	AVER	electrical	7	1	AVER			
N2U	6120	Not NR	PVPL	AVKR	electrical	7	1	AVKR			
N2U	6549	Not NR	VB02	AVBL	electrical	7	1	AVBL			
N2U	6623	Not NR	VA02	AVAL	electrical	7	1	AVAL			
N2U	6939	Not NR	VB03	AVBR	electrical	7	1	AVBR			
N2U	6955	Not NR	VB03	VB02	electrical	7	1	VB02			
N2U	6997	Not NR	VA01	AVAR	electrical	7	1	AVAR			
N2U	8409	Not NR	VD02	VD01	electrical	7	1	VD01			
N2U	1143	NR 45 deg	RMDVR	AVER	electrical	7	1	AVER			
N2U	2404	NR in plane	AIAR	AIAL	electrical	7	1	AIAL			
N2U	4230	NR in plane	ASJR	ASJL	electrical	7	1	ASJL			
N2U	4484	NR in plane	RIMR	AVER	electrical	7	1	AVER			
N2U	5374	NR in plane	RIBR	RIBL	electrical	7	1	RIBL			
N2W	249		MCR	M2R	electrical	7	1	M2R			
JSE	223		PHBL	AVDL,AVAR	chemical	6	2	AVDL	AVAR		
JSE	243		PHBR	AVDL,AVAR	chemical	6	2	AVDL	AVAR		
JSE	313		PHBR	AVAL,PVCL	chemical	6	2	AVAL	PVCL		
JSE	369		LUAL	AVAL,AVDL	chemical	6	2	AVAL	AVDL		
JSE	412		PHCR	DA09,PVCR	chemical	6	2	DA09	PVCR		
JSE	1003		PVR.	LUAL	electrical	6	1	LUAL			
JSE	1004		PHBR	PHBL	electrical	6	1	PHBL			
JSE	1037		PHBR	PHBL	electrical	6	1	PHBL			
JSE	1219		hyp	AVHR	electrical	6	1	AVHR			
JSE	1648		DA07	AVAL	electrical	6	1	AVAL			
JSE	1743		VB11	AVBR	electrical	6	1	AVBR			
JSE	2044		hyp	Phso2R	electrical	6	1	Phso2R			
JSE	2101		DA09	DA08	electrical	6	1	DA08			
N2U	406	Not NR	AWBL	RIAL,ADFL	chemical	6	2	RIAL	ADFL		
N2U	445	Not NR	RICR	RIML,VB01,AIZL	chemical	6	3	RIML	VB01	AIZL	
N2U	567	Not NR	CEPVL	SIAVL.,RICR,RICL	chemical	6	3	SIAVL	RICR	RICL	
N2U	577	Not NR	AIZL	RIML,AIBR,AVER,RICR	chemical	6	4	RIML	AIBR	AVER	RICR
N2U	1149	Not NR	PVCR	AVBL,AVDL	chemical	6	2	AVBL	AVDL		
N2U	5837	Not NR	SDQR	AVBL,DVA	chemical	6	2	AVBL	DVA		
N2U	5859	Not NR	ADAL	ADAL,RIML,AVBR	chemical	6	3	ADAL	RIML	AVBR	
N2U	5884	Not NR	AIYR	AIYL,AIZR,RIAR	chemical	6	3	AIYL	AIZR	RIAR	
N2U	5890	Not NR	DVC	AVAR,AVAL	chemical	6	2	AVAR	AVAL		
N2U	5906	Not NR	AIYL	AWAL,AIZL,RIBL	chemical	6	3	AWAL	AIZL	RIBL	
N2U	5912	Not NR	ADFL	RIAL,AIZL	chemical	6	2	RIAL	AIZL		
N2U	5991	Not NR	PVCR	AVEL,AVBL	chemical	6	2	AVEL	AVBL		
N2U	6040	Not NR	FLPR	AVEL,AVBL	chemical	6	2	AVEL	AVBL		
N2U	6388	Not NR	FLPL	AVBL,AVAL	chemical	6	2	AVBL	AVAL		
N2U	6478	Not NR	FLPL	DD01,AVBL,PVCR,AVDL	chemical	6	4	DD01	AVBL	PVCR	AVDL
N2U	8123	Not NR	AS01	dBWMR6,d-blue-25	chemical	6	2	dBWMR6	d-blue-25		
N2U	8799	Not NR	AS06	VD06,dBWMR14	chemical	6	2	VD06	dBWMR14		
N2U	8929	Not NR	AIYL	AIZL,RIAL,RIBL,AWAL	chemical	6	4	AIZL	RIAL	RIBL	AWAL
N2U	672	NR 45 deg	ADFR	RIAR,AIZR,RIGR	chemical	6	3	RIAR	AIZR	RIGR	
N2U	822	NR 45 deg	RMED	vBWML2,vBWMR3,vBWMR2	chemical	6	3	vBWML2	vBWMR3	vBWMR2	
N2U	833	NR 45 deg	SMDVL	RIAR,RIAL	chemical	6	2	RIAR	RIAL		
N2U	1086	NR 45 deg	RIAL	RMDVR,RMDDL	chemical	6	2	RMDVR	RMDDL		
N2U	1164	NR 45 deg	PVCR	AVDL,AVER	chemical	6	2	AVDL	AVER		
N2U	1362	NR 45 deg	AIZL	RIML,AIBR	chemical	6	2	RIML	AIBR		
N2U	1395	NR 45 deg	RIH	RIBL,RIAL	chemical	6	2	RIBL	RIAL		
N2U	1472	NR 45 deg	CEPVL	RICL,RICR	chemical	6	2	RICL	RICR		
N2U	1758	NR 45 deg	URYVR	RMDDR,AVEL,RIBR	chemical	6	3	RMDDR	AVEL	RIBR	
N2U	1808	NR 45 deg	RIML	AIBR,VB01,RIML	chemical	6	3	AIBR	VB01	RIML	
N2U	1912	NR 45 deg	URBL	URXL,IL1L	chemical	6	2	URXL	IL1L		
N2U	1988	NR 45 deg	URAVR	vBWMR4,RIPR	chemical	6	2	vBWMR4	RIPR		
N2U	2043	NR 45 deg	URAVL.	vBWML2,RMDDL,RIPL	chemical	6	3	vBWML2	RMDDL	RIPL	
N2U	2053	NR 45 deg	URAVL.	RMEV,vBWML2,vBWML1,RMEL	chemical	6	4	RMEV	vBWML2	vBWML1	RMEL
N2U	2356	NR 45 deg	AIBL	AVBL,RIMR	chemical	6	2	AVBL	RIMR		
N2U	3231	NR 45 deg	AVAR	SAAVR	chemical	6	1	SAAVR			
N2U	3408	NR 45 deg	AWAR	RIGR,AIZR	chemical	6	2	RIGR	AIZR		
N2U	3663	NR 45 deg	URYVL	RMDDL,RMDVR	chemical	6	2	RMDDL	RMDVR		
N2U	3664	NR 45 deg	RMDVR	vBWML1,URAVL.,vBWML5,RMDDL,vBWML4	chemical	6	5	vBWML1	URAVL	vBWML5	
N2U	4179	NR 45 deg	URYVL	AVER,RMDDL,OLLL	chemical	6	3	AVER	RMDDL	OLLL	
N2U	4225	NR 45 deg	AUAL	RIAL,RIBL	chemical	6	2	RIAL	RIBL		
N2U	4580	NR 45 deg	IL2L	RIH,OLQVL	chemical	6	2	RIH	OLQVL		
N2U	5093	NR 45 deg	PVR.	RIPL,AVBL	chemical	6	2	RIPL	AVBL		
N2U	9884	NR 45 deg	OLQDR	SIBVR,RMDDL	chemical	6	2	SIBVR	RMDDL		
N2U	1116	NR in plane	RIAR	RMDDL,RMDVR	chemical	6	2	RMDDL	RMDVR		
N2U	2646	NR in plane	SAADR	AVAR,RIMR	chemical	6	2	AVAR	RIMR		
N2U	3589	NR in plane	SAADR	AVAR,RIMR	chemical	6	2	AVAR	RIMR		
N2U	3619	NR in plane	RIGL	ALNL,RMHR,RMGL	chemical	6	3	ALNL	RMHR	RMGL	
N2U	4074	NR in plane	RIAR	RMDVL,RMDR	chemical	6	2	RMDVL	RMDR		
N2U	5024	Not NR	SMBDR	AVKR	electrical	6	1	AVKR			
N2U	6100	Not NR	AVBR	AVBL	electrical	6	1	AVBL			
N2U	6143	Not NR	VB01	SMDVL	electrical	6	1	SMDVL			
N2U	6223	Not NR	VB02	AVBR	electrical	6	1	AVBR			
N2U	6395	Not NR	AVM	AVDL	electrical	6	1	AVDL			
N2U	6468	Not NR	FLPR	AVDL	electrical	6	1	AVDL			
N2U	6699	Not NR	VA03	AVAL	electrical	6	1	AVAL			
N2U	6954	Not NR	DD02	DD01	electrical	6	1	DD01			
N2U	6963	Not NR	VA04	AS02	electrical	6	1	AS02			
N2U	8171	Not NR	VA04	AVAL	electrical	6	1	AVAL			
N2U	8179	Not NR	FLPR	DA02	electrical	6	1	DA02			
N2U	8948	Not NR	RIBL	AVBL	electrical	6	1	AVBL			
N2U	9009	Not NR	RIMR	AVAL	electrical	6	1	AVAL			
N2U	9773	Not NR	SMBVL	SAAVR	electrical	6	1	SAAVR			
N2U	9775	Not NR	SIBDL	RIBL	electrical	6	1	RIBL			
N2U	9803	Not NR	SIBDR	RIBR	electrical	6	1	RIBR			
N2U	9917	Not NR	DB02	AVBR	electrical	6	1	AVBR			
N2U	10291	Not NR	PVPL	AQR	electrical	6	1	AQR			
N2U	4474	NR 45 deg	RIGR	OLQVR	electrical	6	1	OLQVR			
N2U	5542	NR 45 deg	OLQDR	CEPDR	electrical	6	1	CEPDR			
N2U	5558	NR 45 deg	IL1R	IL1DR	electrical	6	1	IL1DR			
N2U	4479	NR in plane	RMED	GLRDL	electrical	6	1	GLRDL			
N2U	5371	NR in plane	RIBR	RIBL	electrical	6	1	RIBL			
N2U	9099	NR in plane	dBWMR7	dBWMR6	electrical	6	1	dBWMR6			
N2U	9658	NR in plane	ADLR	ADLL	electrical	6	1	ADLL			
N2W	58		M2L	M3L,pm4VL,g1AL	chemical	6	3	M3L	pm4VL	g1AL	
N2W	796		NSML	pm5VL,bm	chemical	6	2	pm5VL	bm		
JSE	314		LUAL	AVAL,AVDR	chemical	5	2	AVAL	AVDR		
JSE	318		LUAR	AVDR,AVAR	chemical	5	2	AVDR	AVAR		
JSE	333		AVAL	LUAL,PVCL	chemical	5	2	LUAL	PVCL		
JSE	336		DVB	DD06,AVL	chemical	5	2	DD06	AVL		
JSE	337		LUAL	AVAR,AVDL	chemical	5	2	AVAR	AVDL		
JSE	348		PHBR	PVCR,AVAR	chemical	5	2	PVCR	AVAR		
JSE	352		PHBR	AVAL,PVCL	chemical	5	2	AVAL	PVCL		
JSE	381		LUAR	AVAR,PVCR	chemical	5	2	AVAR	PVCR		
JSE	384		DVB	AVL,PVPL	chemical	5	2	AVL	PVPL		
JSE	388		AVAR	PVCR,LUAR	chemical	5	2	PVCR	LUAR		
JSE	389		PHCL	DVA,VA12	chemical	5	2	DVA	VA12		
JSE	424		DVB	DA08,hyp	chemical	5	2	DA08	hyp		
JSE	796		AVHR	AS11	electrical	5	1	AS11			
JSE	816		PVQR	PVQL	electrical	5	1	PVQL			
JSE	882		VA12	PVCL	electrical	5	1	PVCL			
JSE	893		PVPL	PQR	electrical	5	1	PQR			
JSE	906		PVQR	PVQL	electrical	5	1	PVQL			
JSE	927		VD12	AVHR	electrical	5	1	AVHR			
JSE	936		DVC	AVL	electrical	5	1	AVL			
JSE	1023		PVR.	LUAR	electrical	5	1	LUAR			
JSE	1112		DVB	AVL	electrical	5	1	AVL			
JSE	1831		VA11	AVAR	electrical	5	1	AVAR			
JSE	2041		hyp	Phso2L	electrical	5	1	Phso2L			
N2U	416	Not NR	SDQR	AVAL,AIBL	chemical	5	2	AVAL	AIBL		
N2U	470	Not NR	AFDL	AIYL	chemical	5	1	AIYL			
N2U	478	Not NR	SDQR	AVBR,RMHL	chemical	5	2	AVBR	RMHL		
N2U	487	Not NR	AIZL	RIML,RICR,AIBR	chemical	5	3	RIML	RICR	AIBR	
N2U	488	Not NR	AIYR	RIBR,RIAR,AIZR	chemical	5	3	RIBR	RIAR	AIZR	
N2U	581	Not NR	RIGR	PVT,AVKR,AVKL	chemical	5	3	PVT	AVKR	AVKL	
N2U	586	Not NR	AIBL	SMDDR,RIMR	chemical	5	2	SMDDR	RIMR		
N2U	625	Not NR	AIBR	RIML,SMDDL	chemical	5	2	RIML	SMDDL		
N2U	714	Not NR	AIZR	RIAR	chemical	5	1	RIAR			
N2U	2951	Not NR	AIZL	RIAL,SMBDL	chemical	5	2	RIAL	SMBDL		
N2U	3237	Not NR	AIYR	RIAR,RIBR,AIZR	chemical	5	3	RIAR	RIBR	AIZR	
N2U	4911	Not NR	AVFR	AVBL,AVFL	chemical	5	2	AVBL	AVFL		
N2U	5785	Not NR	ASGR	AIAR	chemical	5	1	AIAR			
N2U	5786	Not NR	ASJR	ASKR,PVQR	chemical	5	2	ASKR	PVQR		
N2U	5825	Not NR	SDQR	AVBL	chemical	5	1	AVBL			
N2U	5849	Not NR	AIYR	RIBR,AIZR	chemical	5	2	RIBR	AIZR		
N2U	5872	Not NR	ADAR	AVBR,RIMR	chemical	5	2	AVBR	RIMR		
N2U	5883	Not NR	AIYL	RIAL,AIZL	chemical	5	2	RIAL	AIZL		
N2U	5940	Not NR	RIMR	ADAR,AVBL,AVBR	chemical	5	3	ADAR	AVBL	AVBR	
N2U	6658	Not NR	AVDR	AVAL,DA01,AVAR	chemical	5	3	AVAL	DA01	AVAR	
N2U	6830	Not NR	AVDR	AVAR,DA02,AVAL	chemical	5	3	AVAR	DA02	AVAL	
N2U	8970	Not NR	FLPL	VA01,AVAR,AVDR,AVBR	chemical	5	4	VA01	AVAR	AVDR	AVBR
N2U	8977	Not NR	FLPR	AVEL,AVBL	chemical	5	2	AVEL	AVBL		
N2U	647	NR 45 deg	SAAVL	SMDDR,AVAL	chemical	5	2	SMDDR	AVAL		
N2U	652	NR 45 deg	SAAVL	AVAL,SMDDR	chemical	5	2	AVAL	SMDDR		
N2U	679	NR 45 deg	DVA	AVEL,SAADR,RIMR	chemical	5	3	AVEL	SAADR	RIMR	
N2U	812	NR 45 deg	RIAR	RMDR,RIAL	chemical	5	2	RMDR	RIAL		
N2U	1068	NR 45 deg	RIAR	SMDVR,SMDDL	chemical	5	2	SMDVR	SMDDL		
N2U	1102	NR 45 deg	RMDVR	RMDDL,vBWML1,vBWML4,dBWML3	chemical	5	4	RMDDL	vBWML1	vBWML4	dBWML3
N2U	1387	NR 45 deg	RIH	AIZR,RIAR	chemical	5	2	AIZR	RIAR		
N2U	1413	NR 45 deg	ADLL	AIBL,AVDR	chemical	5	2	AIBL	AVDR		
N2U	1569	NR 45 deg	SMBVL	RMEV,vBWML3,vBWML6,vBWML2	chemical	5	4	RMEV	vBWML3	vBWML6	vBWML2
N2U	1731	NR 45 deg	ADLR	AWCR,AIAR,AIBR	chemical	5	3	AWCR	AIAR	AIBR	
N2U	1752	NR 45 deg	URYVR	AVEL,SMDVL,RIBR	chemical	5	3	AVEL	SMDVL	RIBR	
N2U	1753	NR 45 deg	URYVR	AVEL,SMDVL,RIBR,AVL.	chemical	5	4	AVEL	SMDVL	RIBR	AVL
N2U	1836	NR 45 deg	URXR	AUAR,RIAR	chemical	5	2	AUAR	RIAR		
N2U	1900	NR 45 deg	RIH	BAGR,RIAL	chemical	5	2	BAGR	RIAL		
N2U	2018	NR 45 deg	URAVR	vBWMR2,IL1VR,RIPR,vBWMR3	chemical	5	4	vBWMR2	IL1VR	RIPR	vBWMR3
N2U	2042	NR 45 deg	URAVL.	RIPL,vBWML1,vBWML3,IL1VL	chemical	5	4	RIPL	vBWML1	vBWML3	IL1VL
N2U	2201	NR 45 deg	ASHR	ADLR,SMBVR,AIAR,AVDL	chemical	5	4	ADLR	SMBVR	AIAR	AVDL
N2U	2358	NR 45 deg	AIBL	AVBL,RIBR	chemical	5	2	AVBL	RIBR		
N2U	3054	NR 45 deg	AIBR	RIML,AVBR	chemical	5	2	RIML	AVBR		
N2U	3442	NR 45 deg	RIR	RIAL,AUAL,URXL	chemical	5	3	RIAL	AUAL	URXL	
N2U	3651	NR 45 deg	RMDVR	RMDDL,vBWML2,vBWML3	chemical	5	3	RMDDL	vBWML2	vBWML3	
N2U	3677	NR 45 deg	IL1R	RMDVR,RMDL	chemical	5	2	RMDVR	RMDL		
N2U	3743	NR 45 deg	IL1VR	RMDDR,vBWMR2	chemical	5	2	RMDDR	vBWMR2		
N2U	4004	NR 45 deg	IL2DR	IL1DR,RIPR	chemical	5	2	IL1DR	RIPR		
N2U	4176	NR 45 deg	OLLL	RMDDL,AVER	chemical	5	2	RMDDL	AVER		
N2U	4180	NR 45 deg	IL1L	dBWML3,RMDDL	chemical	5	2	dBWML3	RMDDL		
N2U	4184	NR 45 deg	OLLL	AVER,CEPVL	chemical	5	2	AVER	CEPVL		
N2U	4464	NR 45 deg	ALNR	SAAVR,RIML,AVAL	chemical	5	3	SAAVR	RIML	AVAL	
N2U	5086	NR 45 deg	IL2VL	RIPL,IL1VL,OLQVL	chemical	5	3	RIPL	IL1VL	OLQVL	
N2U	5148	NR 45 deg	IL1L	RMDVL,dBWML4	chemical	5	2	RMDVL	dBWML4		
N2U	5209	NR 45 deg	IL1VL	vBWML2,RMDDL,IL1VL	chemical	5	3	vBWML2	RMDDL	IL1VL	
N2U	5221	NR 45 deg	IL1VR	vBWMR2,RMDVL,OLQVR	chemical	5	3	vBWMR2	RMDVL	OLQVR	
