RMDDL,HMNp,2850,1,131
RMDDR,HMNp,359,1,276
RMDDR,HMNp,3149,1,7
RMDL,HMNp,1063,19,200
RMDL,HMNp,3138,-1,-1
RMDR,HMNp,1069,12,200
RMDVL,HMNp,763,1,215
RMDVR,HMNp,521,4,223
RMED,HMNa,2422,1,161
RMED,HMNa,2713,1,161
RMED,HMNa,2773,1,45
RMED,HMNa,2776,1,51
RMEL,HMNa,1091,1,83
RMEL,HMNa,2366,1,99
RMER,HMNa,1086,1,109
RMER,HMNa,1088,1,91
RMEV,HMNa,2,1,410
RMEV,HMNa,3124,1,39
RMEV,HMNa,3125,1,33
RMFL,I2,123,36,335
RMFL,I2,3399,50,92
RMFR,I2,286,31,296
RMGL,I1,53,29,410
RMGL,I1,3147,24,73
RMGR,I1,163,56,410
RMHL,HMNp,125,47,366
RMHR,HMNp,128,41,335
SAADL,I2,3,38,410
SAADL,I2,896,-1,-1
SAADR,I2,132,37,410
SAADR,I2,2849,-1,-1
SAAVL,I2,185,41,409
SAAVR,I2,6,46,332
SABD,SMN,161,200,410
SDQL,Sp1,668,116,272
SDQR,Sp1,801,134,280
SIADL,SMN,13,29,410
SIADL,SMN,897,-1,-1
SIADR,SMN,126,31,410
SIADR,SMN,913,30,194
SIAVL,SMN,14,68,410
SIAVL,SMN,65,368,410
SIAVR,SMN,120,97,410
SIBDL,SMN,31,58,307
SIBDL,SMN,898,-1,-1
SIBDR,SMN,261,49,308
SIBVL,SMN,9,30,333
SIBVL,SMN,239,63,410
SIBVR,SMN,55,44,394
SMBDL,SMN,62,30,410
SMBDL,SMN,892,-1,-1
SMBDR,SMN,137,16,410
SMBVL,SMN,8,80,410
SMBVL,SMN,283,-1,-1
SMBVR,SMN,133,102,410
SMDDL,SMN,15,14,346
SMDDL,SMN,846,-1,-1
SMDDR,SMN,121,8,349
SMDVL,SMN,280,1,369
SMDVR,SMN,63,1,384
URADL,HMNa,2298,1,101
URADR,HMNa,2219,1,113
URAVL,HMNa,1076,1,129
URAVR,HMNa,2424,1,147
URBL,I2,3028,1,128
URBR,I2,1085,1,148
URBR,I2,3498,78,123
URXL,Sa,1064,1,200
URXR,Sa,1065,1,200
URYDL,Sa,2300,1,98
URYDL,Sa,3127,1,18
URYDR,Sa,2218,1,111
URYVL,Sa,1093,1,136
URYVR,Sa,2830,1,150
URYVR,Sa,4189,56,158
VA02,VMN,168,200,410
VB01,VMN,5,301,410
VB02,VMN,4,200,410
VD01,VMN,138,339,410
vBWML,BWM,64,344,346
