0.8275,0.8190
0.8045,0.7899
0.8201,0.8071
0.8260,0.8215
0.7991,0.7975
0.8116,0.7982
0.8137,0.7972
0.8290,0.8308
0.8155,0.8188
0.8165,0.7941
0.8222,0.8317
0.8145,0.8153
0.7817,0.7871
0.8238,0.8120
0.8176,0.8216
0.8167,0.8100
0.8120,0.8136
0.8160,0.7994
0.8248,0.8071
0.8022,0.7988
0.8151,0.8345
0.8316,0.8407
0.8001,0.8090
0.8070,0.8145
0.8146,0.8075
0.8122,0.8117
0.7954,0.7922
0.7967,0.8026
0.7951,0.8123
0.8148,0.8057
0.8102,0.8034
0.8132,0.7993
0.7915,0.8109
0.8101,0.8075
0.8249,0.8069
0.8157,0.8143
0.7997,0.7999
0.8174,0.8182
0.8281,0.8363
0.8203,0.8032
0.8043,0.8081
0.7966,0.7952
0.8199,0.8278
0.8304,0.8148
0.8192,0.8043
0.8127,0.8038
0.8239,0.8044
0.8168,0.8314
0.8170,0.8092
0.8183,0.8121
0.7978,0.8006
0.8140,0.8141
0.8170,0.8233
0.8291,0.8356
0.8120,0.8044
0.8207,0.8130
0.8223,0.8152
0.8258,0.8359
0.8215,0.8148
0.8132,0.8187
0.8245,0.8152
0.7899,0.7896
0.8220,0.8074
0.8096,0.8182
0.8258,0.8123
0.8195,0.8281
0.7913,0.7754
0.8043,0.8021
0.8141,0.8147
0.8064,0.8154
0.8211,0.8288
0.8098,0.7993
0.8258,0.8088
0.7944,0.7926
0.8261,0.8065
0.8082,0.8366
0.8005,0.8254
0.7965,0.7925
0.8161,0.8266
0.8118,0.8142
0.8079,0.7984
0.8188,0.8163
0.8269,0.8267
0.8197,0.8053
0.8110,0.7959
0.7920,0.7887
0.8193,0.8125
0.8124,0.8118
0.8044,0.7895
0.8209,0.8262
0.8127,0.7956
0.8230,0.8147
0.8326,0.8258
0.7987,0.7578
0.8156,0.8036
0.8142,0.8099
0.8200,0.7971
0.8155,0.8233
0.8152,0.8170
0.8076,0.7986
0.8161,0.7921
0.8006,0.8047
0.8256,0.8244
0.8263,0.8247
0.8146,0.8142
0.8233,0.8336
0.8195,0.8001
