DVA,0
AIYL,0
PVCL,0
ASGL,0
ASIL,0
ALA,0
DVC,0
PVPL,0
AINL,0
AVHL,0
AVKL,0
RICL,1
ASKL,1
ASHL,1
ASJL,1
AUAL,1
ASEL,1
ASER,1
AFDL,1
AVAL,1
URBL,1
AIZL,2
RIBL,2
AVDL,2
AVJL,2
RIS,2
AVEL,2
AVL,2
SIADL,2
SIAVL,3
ADFL,3
AVBL,3
AWAL,3
CEPDL,3
CEPVL,3
IL1VL,3
IL1DL,3
IL1L,3
OLQVL,4
OLLL,4
OLQDL,4
AWBL,4
IL2VL,4
IL2DL,4
IL2L,4
ADLL,4
BAGL,4
ADEL,4
URXL,5
RMEV,5
RMER,5
RMED,5
RMEL,5
SIBDL,5
SIBVL,5
RMDVL,5
RMDDL,5
RMDL,6
RIVL,6
SMDDL,6
SMDVL,6
AIBL,6
AWCL,6
RIAL,6
SMBDL,6
SMBVL,6
RIH,6
RIML,6
