PVCL,0
ASGL,0
ASIL,0
AIBL,0
AVBL,0
ADFL,0
RIBL,0
AVJL,0
URBL,0
AUAL,0
AIYL,1
AIZL,1
RIH,1
DVA,1
AVEL,1
ALA,1
AVHL,1
AVAL,2
ASJL,2
AWAL,2
AWBL,2
RICL,2
SIADL,2
SIAVL,2
RIML,2
RIAL,2
SMDDL,2
SMDVL,2
IL2VL,2
IL2DL,2
IL2L,2
AVDL,2
ADEL,2
AVKL,2
AINL,2
RIVL,3
RMDVL,3
RMDDL,3
RMDL,3
AVL,3
SMBDL,4
SMBVL,4
SIBDL,4
SIBVL,4
RMEV,4
RMER,4
RMED,4
RMEL,4
IL1VL,4
IL1L,4
IL1DL,4
CEPDL,5
CEPVL,5
OLQVL,5
OLLL,5
OLQDL,5
RIS,5
ASEL,5
ASER,5
ASKL,5
ADLL,5
URXL,5
PVPL,5
ASHL,5
DVC,5
BAGL,5
AFDL,5
AWCL,5
