URXL,0
AIZL,0
AVHL,0
AVAL,0
FLPL,0
AVL,0
BAGL,0
AINL,0
AWBL,0
SMBDL,0
SMBVL,1
AVKL,1
OLQVL,1
OLLL,1
OLQDL,1
AIYL,1
AVDL,1
RIBL,2
AWAL,2
PVCL,2
ASGL,2
AVBL,2
ASHL,2
ASIL,2
ASJL,2
ALA,2
CEPVL,2
IL1VL,2
IL1L,2
CEPDL,2
IL1DL,2
ASEL,2
ASER,2
DVA,2
AVJL,2
ADFL,3
AVEL,3
PVPL,3
RIS,3
AUAL,3
RIVL,4
URBL,4
AIAL,4
RIAL,4
DVC,4
RIML,4
AWCL,4
SIADL,4
RICL,4
SIAVL,4
ADEL,4
ASKL,5
ADLL,5
AFDL,5
SIBDL,5
SIBVL,5
RMDVL,5
RMDDL,5
RMDL,5
AIBL,5
SMDDL,5
SMDVL,5
RID,5
RIH,5
IL2VL,5
IL2DL,5
IL2L,5
RMEV,5
RMER,5
RMED,5
RMEL,5
