DVA,0
URBL,0
ALA,0
RIS,0
AIYL,0
AVHL,0
AVJL,0
ADFL,0
PVCL,1
ASGL,1
ASIL,1
RMEV,1
RMER,1
RMED,1
RMEL,1
SIADL,1
SIAVL,2
RMDVL,2
RMDDL,2
RMDL,2
SMDDL,2
SMDVL,3
SIBDL,3
SIBVL,3
SMBDL,3
SMBVL,3
RIH,3
RIVL,3
AVDL,3
AVL,3
AVAL,3
AVKL,3
RIAL,3
RIML,3
AIZL,3
AIBL,3
RIBL,3
AINL,3
DVC,3
PVPL,3
RICL,3
ASHL,4
ASKL,4
AFDL,4
AWAL,4
AVBL,4
AVEL,4
OLQVL,4
OLLL,4
OLQDL,4
CEPDL,5
CEPVL,5
IL1VL,5
IL1DL,5
IL1L,5
IL2VL,5
IL2DL,6
IL2L,6
AUAL,6
ASJL,6
ASEL,6
ASER,6
AWBL,7
AWCL,7
ADEL,7
URXL,7
ADLL,7
BAGL,7
